"Municipalidad","PIA","PIM","Certificación","Compromiso Anual","Atención de Compromiso Mensual","Devengado","Girado","avance","periodo","PROVINCIA"
"MUNICIPALIDAD METROPOLITANA DE LIMA",1442321772,1995141281,1588562791,1486833162,1486782790,1464140909,1445448182,73.4,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE ANCON",18163900,36611802,34837758,27728151,25736343,25698149,25698149,70.2,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE ATE - VITARTE",188647938,256975909,245789686,230110847,227770925,212857317,212732721,82.8,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE BARRANCO",30513887,34596207,34283324,33655439,29515753,29497220,29497220,85.3,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE BREÑA",29586047,35747929,31575690,30632305,30245272,27209103,27209103,76.1,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE CARABAYLLO",67510257,111945038,107009235,104415556,103843438,96577705,96577705,86.3,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE CHACLACAYO",18013295,25088475,23320882,20727177,19011330,18263471,18161811,72.8,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE CHORRILLOS",105596885,119458900,89232016,80828664,71913515,71810360,71805122,60.1,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE CIENEGUILLA",21839384,26102280,21625645,18437965,17173647,17173647,17172429,65.8,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE COMAS",111342230,142228691,126114052,99855381,96726548,87056256,87056256,61.2,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE EL AGUSTINO",53445037,79459299,76433312,60892067,54932815,39161969,38742777,49.3,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA",73377537,88958974,78800393,68813043,67152158,66383723,66171166,74.6,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE JESUS MARIA",70367973,114005425,105609843,104047540,103857323,103479985,103469121,90.8,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE LA MOLINA",133500651,159474578,154664467,128807590,128807589,128807589,128801490,80.8,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
