"Tipo de actividad","Genero","Edad1","Edad2","Edad3"
"Necesidades personales","Mujeres",66.57,67.11,72.19
"Necesidades personales","Hombres",65.25,65.26,71.08
"Actividades culinarias","Mujeres",16.33,17.04,16.36
"Actividades culinarias","Hombres",3.56,5.27,6.45
"Aseo de la vivienda","Mujeres",7.24,7.3,7.13
"Aseo de la vivienda","Hombres",3.14,3.53,4.38
"Cuidado y confección de ropa","Mujeres",7.24,7.3,7.13
"Cuidado y confección de ropa","Hombres",3.14,3.53,4.38
"Reparación, construcción y mantenimiento en la vivienda","Mujeres",2.08,2.25,2.06
"Reparación, construcción y mantenimiento en la vivienda","Hombres",3.28,4.4,4.55
"Cuidado de bebes, niñas, niños y adolescentes","Mujeres",12.4,7.1,7.24
"Cuidado de bebes, niñas, niños y adolescentes","Hombres",6.22,5.11,4.16
"Cuidado de miembros del hogar que presentaron algún síntoma, malestar o enfermedad","Mujeres",4.18,4.45,5.24
"Cuidado de miembros del hogar que presentaron algún síntoma, malestar o enfermedad","Hombres",4.02,3.36,4.21
"Compras para el hogar","Mujeres",4.08,4.19,4.09
"Compras para el hogar","Hombres",2.49,3.05,3.26
"Gerencia y organización del hogar","Mujeres",3.1,2.37,2.47
"Gerencia y organización del hogar","Hombres",2.09,2.16,2.24
"Familia y sociabilidad","Mujeres",14.38,15.05,18.22
"Familia y sociabilidad","Hombres",14.28,15.1,17.23
"Tiempo libre","Mujeres",11.01,13.58,20.56
"Tiempo libre","Hombres",14.53,16.02,22.04
"Cuidado de huertos y crianza de animales del hogar","Mujeres",3.08,3.5,4.38
"Cuidado de huertos y crianza de animales del hogar","Hombres",3.01,3.5,5.23
"Tareas de apoyo a otro hogar","Mujeres",5.23,8.54,9.03
"Tareas de apoyo a otro hogar","Hombres",3.41,4.39,6.46
"Trabajo voluntario para organizaciones o instituciones","Mujeres",5.23,8.54,9.03
"Trabajo voluntario para organizaciones o instituciones","Hombres",3.41,4.39,6.46
"Cuidado de miembros del hogar con dificultades físicas, mentales o enfermedades permanentes o de edad avanzada totalmente dependientes","Mujeres",4.11,4.33,5.25
"Cuidado de miembros del hogar con dificultades físicas, mentales o enfermedades permanentes o de edad avanzada totalmente dependientes","Hombres",5.17,5.25,5.47
