"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de primaria",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Lectura,,,,,,Matemática,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,100.0,97.7,6,156,401,1.1,27.7,71.2,46,134,383,8.2,23.8,68.0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,100.0,87.0,1,10,9,5.0,50.0,45.0,0,8,12,0.0,40.0,60.0
010104,AMAZONAS,CHACHAPOYAS,CHETO,100.0,92.9,0,3,10,0.0,23.1,76.9,0,1,12,0.0,7.7,92.3
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,100.0,94.3,3,22,8,9.1,66.7,24.2,11,14,8,33.3,42.4,24.2
010107,AMAZONAS,CHACHAPOYAS,GRANADA,100.0,100.0,0,8,4,0.0,66.7,33.3,2,3,7,16.7,25.0,58.3
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,100.0,100.0,0,3,0,0.0,100.0,0.0,0,3,0,0.0,100.0,0.0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,100.0,94.2,9,94,27,6.9,72.3,20.8,39,57,34,30.0,43.8,26.2
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,100.0,93.7,3,22,34,5.1,37.3,57.6,6,15,38,10.2,25.4,64.4
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,100.0,100.0,0,6,12,0.0,33.3,66.7,1,4,13,5.6,22.2,72.2
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,100.0,100.0,0,4,9,0.0,30.8,69.2,1,5,7,7.7,38.5,53.8
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,100.0,83.3,0,1,4,0.0,20.0,80.0,0,3,2,0.0,60.0,40.0
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,100.0,97.9,0,24,22,0.0,52.2,47.8,8,18,20,17.4,39.1,43.5
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,100.0,100.0,1,3,5,11.1,33.3,55.6,1,3,5,11.1,33.3,55.6
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,100.0,100.0,2,1,3,33.3,16.7,50.0,2,4,0,33.3,66.7,0.0
