"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de secundaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Comprensión Lectora,,,,,,,,Matemática,,,,,,,,HGE,,,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio
010101,Amazonas,Chachapoyas,Chachapoyas,100.0,98.9,44,195,247,150,6.9,30.7,38.8,23.6,80,228,180,148,12.6,35.8,28.3,23.3,43,153,257,182,6.8,24.1,40.5,28.7
010103,Amazonas,Chachapoyas,Balsas,100.0,95.0,5,11,4,0,26.3,52.6,21.1,.0,11,6,2,1,52.6,31.6,10.5,5.3,6,6,5,2,31.6,31.6,26.3,10.5
010104,Amazonas,Chachapoyas,Cheto,100.0,100.0,3,9,0,3,20.0,60.0,.0,20.0,6,6,2,1,40.0,40.0,13.3,6.7,4,5,4,2,26.7,33.3,26.7,13.3
010106,Amazonas,Chachapoyas,Chuquibamba,100.0,95.2,18,15,7,2,42.8,34.7,17.8,4.8,16,15,8,3,37.8,35.1,19.6,7.4,10,15,12,4,25.0,35.4,29.6,10.0
010107,Amazonas,Chachapoyas,Granada,100.0,100.0,1,7,5,0,7.7,53.8,38.5,.0,2,6,4,1,15.4,46.2,30.8,7.7,0,5,7,1,.0,38.5,53.8,7.7
010109,Amazonas,Chachapoyas,La Jalca,100.0,97.8,49,64,17,6,35.7,47.2,12.7,4.4,61,54,15,6,44.9,39.5,11.2,4.4,34,45,44,13,24.7,33.3,32.5,9.6
010110,Amazonas,Chachapoyas,Leimebamba,100.0,100.0,8,32,23,8,11.3,45.1,32.4,11.3,13,41,15,3,18.3,56.3,21.1,4.2,9,16,33,14,12.5,22.2,45.8,19.4
010111,Amazonas,Chachapoyas,Levanto,100.0,100.0,0,5,3,1,.0,55.6,33.3,11.1,5,2,1,1,55.6,22.2,11.1,11.1,1,1,2,5,11.1,11.1,22.2,55.6
010112,Amazonas,Chachapoyas,Magdalena,100.0,100.0,2,7,8,3,10.0,35.0,40.0,15.0,3,8,8,1,15.0,40.0,40.0,5.0,2,7,8,3,10.0,35.0,40.0,15.0
010113,Amazonas,Chachapoyas,Mariscal Castilla,100.0,100.0,2,8,2,1,15.4,61.5,15.4,7.7,5,6,1,1,38.5,46.2,7.7,7.7,2,5,5,1,15.4,38.5,38.5,7.7
010114,Amazonas,Chachapoyas,Molinopampa,100.0,93.9,8,13,11,2,22.8,38.8,32.1,6.3,6,21,1,4,19.6,64.6,3.2,12.7,1,11,15,6,3.2,32.7,44.9,19.2
010115,Amazonas,Chachapoyas,Montevideo,100.0,100.0,2,8,1,1,16.7,66.7,8.3,8.3,6,4,0,2,50.0,33.3,.0,16.7,6,1,4,1,50.0,8.3,33.3,8.3
010118,Amazonas,Chachapoyas,San Francisco de Daguas,100.0,80.0,4,4,3,0,37.5,37.5,25.0,.0,2,4,2,1,25.0,37.5,25.0,12.5,5,1,4,0,50.0,12.5,37.5,.0
010119,Amazonas,Chachapoyas,San Isidro de Maino,100.0,85.7,4,2,1,0,50.0,33.3,16.7,.0,2,5,0,0,33.3,66.7,.0,.0,2,2,2,0,33.3,33.3,33.3,.0
