"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Cuarto de primaria",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Comprensión Lectora,,,,,,,,Matemática,,,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,100.0,98.0,4,71,172,259,.8,14.0,34.0,51.2,9,48,216,233,1.8,9.5,42.6,46.0
010104,AMAZONAS,CHACHAPOYAS,CHETO,100.0,100.0,0,0,5,4,0.0,0.0,55.6,44.4,0,0,5,4,0.0,0.0,55.6,44.4
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,100.0,93.6,3,21,15,8,6.4,43.8,31.8,17.9,3,13,26,5,6.6,27.1,55.0,11.3
010107,AMAZONAS,CHACHAPOYAS,GRANADA,100.0,100.0,0,0,3,8,0.0,0.0,27.3,72.7,0,0,5,6,0.0,0.0,45.5,54.5
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,100.0,98.5,21,60,24,26,15.7,45.7,18.5,20.1,12,44,55,20,9.4,33.4,41.9,15.4
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,100.0,100.0,1,10,22,30,1.6,15.9,34.9,47.6,3,6,21,33,4.8,9.5,33.3,52.4
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,100.0,100.0,0,3,7,6,0.0,18.8,43.8,37.5,0,1,10,5,0.0,6.3,62.5,31.3
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,100.0,100.0,0,9,9,3,0.0,42.9,42.9,14.3,1,5,11,4,4.8,23.8,52.4,19.0
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,100.0,100.0,4,6,8,0,21.5,33.5,45.0,0.0,4,3,9,1,21.5,18.8,53.8,5.9
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,100.0,100.0,1,12,19,13,2.2,27.0,41.3,29.5,2,14,23,6,4.4,31.4,50.8,13.3
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,100.0,100.0,2,2,3,3,20.0,20.0,30.0,30.0,2,3,4,1,20.0,30.0,40.0,10.0
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,100.0,83.3,0,5,0,1,0.0,80.0,0.0,20.0,4,1,1,0,60.0,20.0,20.0,0.0
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,100.0,100.0,0,4,4,1,0.0,44.4,44.4,11.1,0,4,5,0,0.0,44.4,55.6,0.0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,100.0,100.0,5,5,5,1,31.3,31.3,31.3,6.3,5,3,7,1,31.3,18.8,43.8,6.3
010201,AMAZONAS,BAGUA,BAGUA,100.0,96.9,40,142,177,130,8.1,29.1,36.2,26.6,55,126,196,111,11.3,25.9,40.1,22.7
010202,AMAZONAS,BAGUA,ARAMANGO,100.0,96.7,27,49,46,30,17.8,32.1,30.4,19.7,27,31,58,36,18.1,20.2,38.0,23.7
010203,AMAZONAS,BAGUA,COPALLIN,100.0,95.1,6,18,19,18,9.8,29.5,31.1,29.5,8,11,31,11,13.1,18.0,50.8,18.0
010204,AMAZONAS,BAGUA,EL PARCO,100.0,100.0,1,8,0,0,12.5,87.5,0.0,0.0,2,6,1,0,25.0,62.5,12.5,0.0
010205,AMAZONAS,BAGUA,IMAZA,100.0,89.9,74,77,30,10,38.6,40.4,15.6,5.4,92,57,36,6,48.1,29.7,19.1,3.1
010206,AMAZONAS,BAGUA,LA PECA,100.0,95.9,5,24,26,18,7.1,33.0,35.6,24.2,6,5,23,38,8.6,7.3,31.4,52.6
010301,AMAZONAS,BONGARÁ,JUMBILLA,100.0,100.0,3,9,4,9,12.0,36.0,16.0,36.0,3,8,8,6,12.0,32.0,32.0,24.0
010304,AMAZONAS,BONGARÁ,COROSHA,100.0,94.7,2,10,6,1,11.8,52.9,29.4,5.9,9,8,2,0,47.1,41.2,11.8,0.0
010305,AMAZONAS,BONGARÁ,CUISPES,100.0,100.0,4,5,3,2,28.6,35.7,21.4,14.3,6,3,5,0,42.9,21.4,35.7,0.0
010306,AMAZONAS,BONGARÁ,FLORIDA,100.0,97.8,6,31,32,21,7.1,34.8,35.0,23.1,10,26,39,15,11.6,29.1,43.0,16.3
010307,AMAZONAS,BONGARÁ,JAZAN,100.0,96.8,3,27,46,50,2.5,21.2,36.6,39.7,0,28,58,40,0.0,22.1,45.8,32.1
010310,AMAZONAS,BONGARÁ,SHIPASBAMBA,100.0,100.0,2,12,9,3,7.7,46.2,34.6,11.5,4,8,12,2,15.4,30.8,46.2,7.7
010311,AMAZONAS,BONGARÁ,VALERA,100.0,100.0,0,2,2,0,0.0,50.0,50.0,0.0,0,1,3,0,0.0,25.0,75.0,0.0
010312,AMAZONAS,BONGARÁ,YAMBRASBAMBA,100.0,98.1,13,38,38,15,12.6,36.2,36.7,14.5,10,28,45,21,9.7,26.6,43.3,20.4
010401,AMAZONAS,CONDORCANQUI,NIEVA,100.0,92.2,47,79,45,22,24.6,40.7,23.5,11.2,58,47,76,12,30.2,24.1,39.5,6.1
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,100.0,89.7,22,9,0,2,66.0,27.6,0.0,6.4,22,7,5,0,65.7,20.6,13.7,0.0
010501,AMAZONAS,LUYA,LAMUD,100.0,96.8,2,8,16,5,6.7,26.7,50.0,16.7,1,5,20,5,3.3,16.7,63.3,16.7
010502,AMAZONAS,LUYA,CAMPORREDONDO,100.0,99.5,21,64,66,42,10.8,33.2,34.3,21.8,24,48,88,34,12.4,24.9,45.1,17.6
010503,AMAZONAS,LUYA,COCABAMBA,100.0,91.4,8,15,10,2,22.9,42.9,28.6,5.7,7,11,13,4,21.0,30.2,37.4,11.4
010504,AMAZONAS,LUYA,COLCAMAR,100.0,100.0,0,3,10,10,0.0,13.0,43.5,43.5,0,1,2,20,0.0,4.3,8.7,87.0
010505,AMAZONAS,LUYA,CONILA,100.0,95.7,1,4,13,5,4.5,18.2,54.5,22.7,3,4,8,7,13.6,18.2,36.4,31.8
010507,AMAZONAS,LUYA,LONGUITA,100.0,95.5,0,3,4,15,0.0,13.6,19.3,67.0,0,1,13,9,0.0,4.5,56.8,38.6
010508,AMAZONAS,LUYA,LONYA CHICO,100.0,100.0,3,7,3,2,20.0,46.7,20.0,13.3,1,7,5,2,6.7,46.7,33.3,13.3
010509,AMAZONAS,LUYA,LUYA,100.0,98.9,3,39,33,16,3.3,42.4,36.6,17.6,4,20,48,19,4.4,22.2,52.5,21.0
010510,AMAZONAS,LUYA,LUYA VIEJO,100.0,100.0,0,0,6,4,0.0,0.0,60.0,40.0,0,0,4,6,0.0,0.0,40.0,60.0
010511,AMAZONAS,LUYA,MARIA,100.0,93.3,0,4,5,5,0.0,28.6,35.7,35.7,0,3,9,3,0.0,21.4,57.1,21.4
010512,AMAZONAS,LUYA,OCALLI,100.0,97.1,8,20,31,11,11.2,29.0,43.7,16.1,5,25,32,8,7.1,36.3,45.1,11.4
010513,AMAZONAS,LUYA,OCUMAL,100.0,98.3,13,16,20,10,22.3,27.3,33.4,16.9,12,19,15,14,20.4,31.0,25.1,23.4
010514,AMAZONAS,LUYA,PISUQUIA,100.0,98.2,2,45,39,26,1.8,39.7,35.1,23.4,8,26,50,28,7.1,23.5,44.2,25.1
010515,AMAZONAS,LUYA,PROVIDENCIA,100.0,94.1,6,6,11,10,17.6,18.8,33.5,30.0,5,7,12,10,14.7,20.6,36.5,28.2
010516,AMAZONAS,LUYA,SAN CRISTOBAL,100.0,100.0,1,1,4,4,10.0,10.0,40.0,40.0,0,1,4,5,0.0,10.0,40.0,50.0
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,100.0,100.0,0,2,6,1,0.0,22.2,66.7,11.1,0,4,4,1,0.0,44.4,44.4,11.1
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,100.0,100.0,0,2,2,1,0.0,40.0,40.0,20.0,0,1,3,1,0.0,20.0,60.0,20.0
010520,AMAZONAS,LUYA,SANTA CATALINA,100.0,100.0,10,18,14,4,21.7,39.1,30.4,8.7,12,12,19,3,26.1,26.1,41.3,6.5
010521,AMAZONAS,LUYA,SANTO TOMAS,100.0,98.5,14,16,20,14,21.8,25.3,30.7,22.3,9,14,28,13,14.3,21.9,43.1,20.6
010522,AMAZONAS,LUYA,TINGO,100.0,92.3,0,1,6,6,0.0,9.1,45.5,45.5,0,0,7,6,0.0,0.0,54.5,45.5
010523,AMAZONAS,LUYA,TRITA,100.0,100.0,3,11,10,4,10.7,39.3,35.7,14.3,4,4,18,2,14.3,14.3,64.3,7.1
010601,AMAZONAS,RODRÍGUEZ DE MENDOZA,SAN NICOLAS,100.0,99.2,3,15,26,76,2.5,12.7,21.8,63.0,5,16,41,59,4.3,13.4,33.7,48.6
010602,AMAZONAS,RODRÍGUEZ DE MENDOZA,CHIRIMOTO,100.0,100.0,5,12,12,7,13.9,33.3,33.3,19.4,6,12,14,4,16.7,33.3,38.9,11.1
010603,AMAZONAS,RODRÍGUEZ DE MENDOZA,COCHAMAL,100.0,100.0,0,4,5,5,0.0,28.6,35.7,35.7,0,0,4,10,0.0,0.0,28.6,71.4
010604,AMAZONAS,RODRÍGUEZ DE MENDOZA,HUAMBO,100.0,100.0,0,5,5,6,0.0,31.3,31.3,37.5,1,3,8,4,6.3,18.8,50.0,25.0
010605,AMAZONAS,RODRÍGUEZ DE MENDOZA,LIMABAMBA,100.0,100.0,0,7,10,1,0.0,38.9,55.6,5.6,1,8,8,1,5.6,44.4,44.4,5.6
010606,AMAZONAS,RODRÍGUEZ DE MENDOZA,LONGAR,100.0,96.0,0,3,11,11,0.0,12.5,42.1,45.3,0,3,16,6,0.0,12.8,62.9,24.3
010609,AMAZONAS,RODRÍGUEZ DE MENDOZA,OMIA,100.0,96.3,33,86,79,45,13.7,35.3,32.5,18.4,36,66,96,45,14.9,27.2,39.4,18.5
010610,AMAZONAS,RODRÍGUEZ DE MENDOZA,SANTA ROSA,100.0,100.0,0,2,2,1,0.0,40.0,40.0,20.0,0,1,1,3,0.0,20.0,20.0,60.0
010612,AMAZONAS,RODRÍGUEZ DE MENDOZA,VISTA ALEGRE,100.0,100.0,5,14,9,5,15.2,42.4,27.3,15.2,6,10,14,3,18.2,30.3,42.4,9.1
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,100.0,95.7,88,291,403,244,8.6,28.4,39.2,23.8,85,210,453,280,8.2,20.4,44.1,27.3
010702,AMAZONAS,UTCUBAMBA,CAJARURO,100.0,97.6,44,134,147,90,10.6,32.3,35.5,21.7,50,99,168,97,12.0,24.0,40.6,23.4
010703,AMAZONAS,UTCUBAMBA,CUMBA,100.0,98.7,18,43,56,36,12.0,28.0,36.6,23.4,16,37,64,36,10.7,23.9,41.7,23.7
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,100.0,97.5,24,28,25,4,29.9,35.1,30.3,4.7,24,26,29,2,29.3,32.5,35.7,2.5
010705,AMAZONAS,UTCUBAMBA,JAMALCA,100.0,97.3,13,49,40,12,11.1,43.1,35.1,10.8,21,39,44,9,18.3,34.8,38.7,8.2
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,100.0,98.0,9,37,51,50,6.0,25.4,34.7,33.9,17,23,52,55,11.7,15.8,35.2,37.4
010707,AMAZONAS,UTCUBAMBA,YAMON,100.0,98.4,9,16,18,18,14.8,26.6,29.9,28.8,10,15,25,11,16.4,24.8,40.6,18.2
020101,ÁNCASH,HUARAZ,HUARAZ,100.0,98.9,50,234,338,372,5.1,23.5,34.0,37.4,52,199,408,335,5.3,20.0,41.0,33.7
020102,ÁNCASH,HUARAZ,COCHABAMBA,100.0,94.1,13,4,12,4,38.8,12.6,36.4,12.1,13,6,8,7,38.6,16.6,23.9,21.0
020104,ÁNCASH,HUARAZ,HUANCHAY,100.0,88.5,7,7,6,6,27.0,27.0,22.6,23.4,5,8,9,4,20.6,29.3,35.7,14.4
020105,ÁNCASH,HUARAZ,INDEPENDENCIA,100.0,98.8,54,306,524,495,3.9,22.2,38.0,35.9,69,251,641,419,5.0,18.2,46.4,30.4
020106,ÁNCASH,HUARAZ,JANGAS,100.0,100.0,15,16,10,5,32.0,34.8,22.1,11.2,19,16,11,0,40.4,35.4,24.2,0.0
020107,ÁNCASH,HUARAZ,LA LIBERTAD,100.0,100.0,2,11,3,2,11.1,61.1,16.7,11.1,5,8,4,1,27.8,44.4,22.2,5.6
020108,ÁNCASH,HUARAZ,OLLEROS,100.0,100.0,11,10,5,0,42.3,38.5,19.2,0.0,10,11,4,1,38.5,42.3,15.4,3.8
020109,ÁNCASH,HUARAZ,PAMPAS GRANDE,100.0,90.9,2,6,2,1,20.0,50.0,20.0,10.0,4,4,1,1,40.0,40.0,10.0,10.0
020110,ÁNCASH,HUARAZ,PARIACOTO,100.0,100.0,44,33,20,8,41.9,31.4,19.1,7.6,45,27,29,4,42.8,25.7,27.6,3.8
020111,ÁNCASH,HUARAZ,PIRA,100.0,95.6,40,22,5,1,58.2,33.0,7.4,1.5,45,16,6,1,65.6,24.1,8.9,1.5
020112,ÁNCASH,HUARAZ,TARICA,100.0,100.0,17,37,23,21,17.4,37.8,23.5,21.4,13,28,44,13,13.3,28.6,44.9,13.3
