Año,Código DRE,Nombre DRE,Código UGEL,Nombre UGEL ,Evaluación,Grado,Competencia,Medida Promedio,Nivel de Logro: En inicio,Nivel de Logro: En proceso,Nivel de Logro: Satisfactorio
2015,100,Amazonas,10001,Chachapoyas,ECE2015,SEGUNDO,LECTURA,615,"2,7","36,2","61,1"
2015,100,Amazonas,10001,Chachapoyas,ECE2015,SEGUNDO,MATEMÁTICA,627,"17,1","37,3","45,6"
2015,100,Amazonas,10002,Bagua,ECE2015,SEGUNDO,LECTURA,597,"5,7","43,3",51
2015,100,Amazonas,10002,Bagua,ECE2015,SEGUNDO,MATEMÁTICA,598,"26,0","39,4","34,6"
2015,100,Amazonas,10003,Bongará,ECE2015,SEGUNDO,LECTURA,594,"3,4","47,4","49,2"
2015,100,Amazonas,10003,Bongará,ECE2015,SEGUNDO,MATEMÁTICA,621,"18,2","37,4","44,4"
2015,100,Amazonas,10004,Condorcanqui,ECE2015,SEGUNDO,LECTURA,498,"35,8","46,5","17,7"
2015,100,Amazonas,10004,Condorcanqui,ECE2015,SEGUNDO,MATEMÁTICA,471,"68,1","23,9",8
2015,100,Amazonas,10005,Luya,ECE2015,SEGUNDO,LECTURA,579,"4,2","55,9","39,9"
2015,100,Amazonas,10005,Luya,ECE2015,SEGUNDO,MATEMÁTICA,599,"24,8","41,8","33,3"
2015,100,Amazonas,10006,Rodríguez de Mendoza,ECE2015,SEGUNDO,LECTURA,572,"8,1","51,5","40,5"
2015,100,Amazonas,10006,Rodríguez de Mendoza,ECE2015,SEGUNDO,MATEMÁTICA,580,"31,0","37,7","31,2"
2015,100,Amazonas,10007,Utcubamba,ECE2015,SEGUNDO,LECTURA,580,"5,9","49,9","44,2"
2015,100,Amazonas,10007,Utcubamba,ECE2015,SEGUNDO,MATEMÁTICA,593,"28,1","38,1","33,9"
2015,100,Amazonas,10009,Ibir-Imaza,ECE2015,SEGUNDO,LECTURA,481,"44,8","48,8","6,5"
2015,100,Amazonas,10009,Ibir-Imaza,ECE2015,SEGUNDO,MATEMÁTICA,449,"81,9","17,3","0,8"
2015,200,Áncash,20001,Huaraz,ECE2015,SEGUNDO,LECTURA,595,"5,2","44,1","50,7"
2015,200,Áncash,20001,Huaraz,ECE2015,SEGUNDO,MATEMÁTICA,579,"29,8",41,"29,3"
2015,200,Áncash,20002,Aija,ECE2015,SEGUNDO,LECTURA,549,"12,9","58,3","28,8"
2015,200,Áncash,20002,Aija,ECE2015,SEGUNDO,MATEMÁTICA,547,"38,6","42,4","18,9"
2015,200,Áncash,20003,Antonio Raymondi,ECE2015,SEGUNDO,LECTURA,519,"15,6","69,1","15,3"
2015,200,Áncash,20003,Antonio Raymondi,ECE2015,SEGUNDO,MATEMÁTICA,502,"58,2","35,6","6,2"
2015,200,Áncash,20004,Asunción,ECE2015,SEGUNDO,LECTURA,580,"8,4","42,7","48,9"
2015,200,Áncash,20004,Asunción,ECE2015,SEGUNDO,MATEMÁTICA,590,"32,8","31,3","35,9"
2015,200,Áncash,20005,Bolognesi,ECE2015,SEGUNDO,LECTURA,586,"5,9","46,2","47,9"
2015,200,Áncash,20005,Bolognesi,ECE2015,SEGUNDO,MATEMÁTICA,566,"34,9","41,1","23,9"
2015,200,Áncash,20006,Carhuaz,ECE2015,SEGUNDO,LECTURA,549,"10,6","63,3","26,1"
2015,200,Áncash,20006,Carhuaz,ECE2015,SEGUNDO,MATEMÁTICA,542,"41,0",41,"17,9"
2015,200,Áncash,20007,Carlos Fermín Fitzcarrald,ECE2015,SEGUNDO,LECTURA,545,"15,6",52,"32,4"
2015,200,Áncash,20007,Carlos Fermín Fitzcarrald,ECE2015,SEGUNDO,MATEMÁTICA,553,"44,5","27,7","27,7"
2015,200,Áncash,20008,Casma,ECE2015,SEGUNDO,LECTURA,589,"5,1",48,"46,9"
2015,200,Áncash,20008,Casma,ECE2015,SEGUNDO,MATEMÁTICA,581,"27,8",45,"27,2"
2015,200,Áncash,20009,Corongo,ECE2015,SEGUNDO,LECTURA,539,"11,3",67,"21,7"
2015,200,Áncash,20009,Corongo,ECE2015,SEGUNDO,MATEMÁTICA,545,"40,0","42,6","17,4"
2015,200,Áncash,20010,Huari,ECE2015,SEGUNDO,LECTURA,538,"14,2","60,2","25,6"
2015,200,Áncash,20010,Huari,ECE2015,SEGUNDO,MATEMÁTICA,536,"45,1","39,7","15,2"
2015,200,Áncash,20011,Huarmey,ECE2015,SEGUNDO,LECTURA,597,"6,8","42,8","50,4"
2015,200,Áncash,20011,Huarmey,ECE2015,SEGUNDO,MATEMÁTICA,575,"31,9",39,"29,1"
2015,200,Áncash,20012,Huaylas,ECE2015,SEGUNDO,LECTURA,526,"19,9","58,7","21,4"
2015,200,Áncash,20012,Huaylas,ECE2015,SEGUNDO,MATEMÁTICA,506,"57,0",31,12
2015,200,Áncash,20013,Mariscal Luzuriaga,ECE2015,SEGUNDO,LECTURA,491,"27,1","67,1","5,8"
2015,200,Áncash,20013,Mariscal Luzuriaga,ECE2015,SEGUNDO,MATEMÁTICA,472,"66,2","32,5","1,3"
2015,200,Áncash,20014,Ocros,ECE2015,SEGUNDO,LECTURA,564,"8,6","51,7","39,7"
2015,200,Áncash,20014,Ocros,ECE2015,SEGUNDO,MATEMÁTICA,566,"43,1",31,"25,9"
2015,200,Áncash,20015,Pallasca,ECE2015,SEGUNDO,LECTURA,561,"6,2","60,4","33,4"
2015,200,Áncash,20015,Pallasca,ECE2015,SEGUNDO,MATEMÁTICA,567,"30,3","48,7",21
2015,200,Áncash,20016,Pomabamba,ECE2015,SEGUNDO,LECTURA,0,"0,0","0,0","0,0"
2015,200,Áncash,20016,Pomabamba,ECE2015,SEGUNDO,MATEMÁTICA,0,"0,0","0,0","0,0"
2015,200,Áncash,20017,Recuay,ECE2015,SEGUNDO,LECTURA,577,"7,0","47,2","45,9"
2015,200,Áncash,20017,Recuay,ECE2015,SEGUNDO,MATEMÁTICA,598,"23,6","40,6","35,8"
2015,200,Áncash,20018,Santa,ECE2015,SEGUNDO,LECTURA,606,"3,0",41,"56,1"
2015,200,Áncash,20018,Santa,ECE2015,SEGUNDO,MATEMÁTICA,589,"26,2","43,4","30,4"
2015,200,Áncash,20019,Sihuas,ECE2015,SEGUNDO,LECTURA,559,"8,0","61,3","30,8"
2015,200,Áncash,20019,Sihuas,ECE2015,SEGUNDO,MATEMÁTICA,559,"33,2","44,6","22,3"
2015,200,Áncash,20020,Yungay,ECE2015,SEGUNDO,LECTURA,532,"16,2",62,"21,8"
2015,200,Áncash,20020,Yungay,ECE2015,SEGUNDO,MATEMÁTICA,525,"48,4","37,3","14,3"
2015,300,Apurímac,30001,Abancay,ECE2015,SEGUNDO,LECTURA,591,"6,3","44,9","48,8"
2015,300,Apurímac,30001,Abancay,ECE2015,SEGUNDO,MATEMÁTICA,575,"30,8","44,4","24,8"
2015,300,Apurímac,30002,Andahuaylas,ECE2015,SEGUNDO,LECTURA,566,"9,0","53,8","37,2"
2015,300,Apurímac,30002,Andahuaylas,ECE2015,SEGUNDO,MATEMÁTICA,547,"38,5","43,5",18
2015,300,Apurímac,30003,Antabamba,ECE2015,SEGUNDO,LECTURA,565,"4,1","59,8","36,1"
2015,300,Apurímac,30003,Antabamba,ECE2015,SEGUNDO,MATEMÁTICA,556,"28,4","56,2","15,4"
2015,300,Apurímac,30004,Aymaraes,ECE2015,SEGUNDO,LECTURA,566,"5,6","59,1","35,3"
2015,300,Apurímac,30004,Aymaraes,ECE2015,SEGUNDO,MATEMÁTICA,560,"32,9",45,"22,1"
2015,300,Apurímac,30005,Cotabambas,ECE2015,SEGUNDO,LECTURA,535,"17,1","59,2","23,7"
2015,300,Apurímac,30005,Cotabambas,ECE2015,SEGUNDO,MATEMÁTICA,518,"54,8","30,8","14,4"
2015,300,Apurímac,30006,Chincheros,ECE2015,SEGUNDO,LECTURA,543,"16,1","54,6","29,3"
2015,300,Apurímac,30006,Chincheros,ECE2015,SEGUNDO,MATEMÁTICA,535,"43,9",42,"14,2"
2015,300,Apurímac,30007,Grau,ECE2015,SEGUNDO,LECTURA,541,"14,7","58,1","27,2"
2015,300,Apurímac,30007,Grau,ECE2015,SEGUNDO,MATEMÁTICA,527,"45,6","43,3","11,1"
2015,300,Apurímac,30008,Huancarama,ECE2015,SEGUNDO,LECTURA,565,"8,9","58,9","32,2"
2015,300,Apurímac,30008,Huancarama,ECE2015,SEGUNDO,MATEMÁTICA,550,"36,7","41,1","22,2"
2015,400,Arequipa,40001,Arequipa Norte,ECE2015,SEGUNDO,LECTURA,637,"1,2","29,3","69,6"
2015,400,Arequipa,40001,Arequipa Norte,ECE2015,SEGUNDO,MATEMÁTICA,607,"21,3","41,8","36,9"
2015,400,Arequipa,40002,Arequipa Sur,ECE2015,SEGUNDO,LECTURA,630,"1,4","30,4","68,2"
2015,400,Arequipa,40002,Arequipa Sur,ECE2015,SEGUNDO,MATEMÁTICA,602,"20,7",45,"34,3"
2015,400,Arequipa,40003,Camaná,ECE2015,SEGUNDO,LECTURA,621,"2,7","32,8","64,4"
2015,400,Arequipa,40003,Camaná,ECE2015,SEGUNDO,MATEMÁTICA,621,"17,7","38,5","43,8"
2015,400,Arequipa,40004,Caraveli,ECE2015,SEGUNDO,LECTURA,591,"3,2","48,1","48,7"
2015,400,Arequipa,40004,Caraveli,ECE2015,SEGUNDO,MATEMÁTICA,575,"31,4","41,2","27,4"
2015,400,Arequipa,40005,Castilla,ECE2015,SEGUNDO,LECTURA,620,"2,8","36,3","60,8"
2015,400,Arequipa,40005,Castilla,ECE2015,SEGUNDO,MATEMÁTICA,607,"19,7","44,7","35,6"
2015,400,Arequipa,40006,Caylloma,ECE2015,SEGUNDO,LECTURA,580,"5,3","53,5","41,2"
2015,400,Arequipa,40006,Caylloma,ECE2015,SEGUNDO,MATEMÁTICA,575,"30,0","41,8","28,2"
2015,400,Arequipa,40007,Condesuyos,ECE2015,SEGUNDO,LECTURA,629,"2,6","37,5","59,9"
2015,400,Arequipa,40007,Condesuyos,ECE2015,SEGUNDO,MATEMÁTICA,633,"18,2","33,3","48,4"
2015,400,Arequipa,40008,Islay,ECE2015,SEGUNDO,LECTURA,625,"0,9","33,8","65,3"
2015,400,Arequipa,40008,Islay,ECE2015,SEGUNDO,MATEMÁTICA,626,"14,9","40,3","44,8"
2015,400,Arequipa,40009,La Unión,ECE2015,SEGUNDO,LECTURA,556,"9,6","57,8","32,6"
2015,400,Arequipa,40009,La Unión,ECE2015,SEGUNDO,MATEMÁTICA,552,"41,3","33,9","24,8"
2015,400,Arequipa,40010,La Joya,ECE2015,SEGUNDO,LECTURA,594,"3,5","45,2","51,3"
