"","Organizacion Politica","Total antecedentes","Antecedentes penales","Antecedentes de obligaciones"
"2","ALIANZA PARA EL PROGRESO","40","7","33"
"3","UNION POR EL PERU","34","19","15"
"4","PARTIDO MORADO","34","3","31"
"5","VICTORIA NACIONAL","30","8","22"
"6","AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","28","12","16"
"7","DEMOCRACIA DIRECTA","28","5","23"
"8","PARTIDO POLITICO NACIONAL PERU LIBRE","26","12","14"
"9","ACCION POPULAR","24","9","15"
"10","PARTIDO DEMOCRATICO SOMOS PERU","19","8","11"
"11","PODEMOS PERU","18","5","13"
"12","FUERZA POPULAR","14","5","9"
"13","EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","14","10","4"
"14","PARTIDO NACIONALISTA PERUANO","12","4","8"
"15","JUNTOS POR EL PERU","10","5","5"
"16","PARTIDO POPULAR CRISTIANO - PPC","10","6","4"
"17","RENACIMIENTO UNIDO NACIONAL","8","1","7"
"18","PERU PATRIA SEGURA","8","1","7"
"19","RENOVACION POPULAR","6","5","1"
"20","PARTIDO POLÍTICO CONTIGO","3","1","2"
"21","FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP","3","1","2"
"22","PARTIDO APRISTA PERUANO","1","1","0"
"23","PARTIDO FRENTE DE LA ESPERANZA 2021","1","0","1"
