,,,Conexiones Activas de agua potable (Conex) - 2120,,,,,,,,,,,
,Cod. Loc.,Nombre Localidad,"2,013","2,014","2,015",2T 2016,,,Cod EPS,Siglas EPS,"2,013","2,014","2,015",2T 2016
1,"1,001",CHACHAPOYAS,"6,310","6,653","6,824","6,983",,,1,EMUSAP S.R.L.,"6,310","6,653","6,824","6,983"
2,"2,001",HUANUCO,"28,273","28,870","28,974","29,127",,,2,SEDA HUÁNUCO S.A.,"38,337","39,276","39,580","39,835"
2,"2,002",TINGO MARIA,"7,197","7,448","7,602","7,687",,,3,EMAPACOP S.A.,"16,475","17,777","21,389","20,873"
2,"2,003",AUCAYACU,"2,867","2,958","3,004","3,021",,,4,SEDALORETO S.A.,"67,333","70,019","72,133","71,753"
3,"3,001",PUCALLPA,"16,475","17,777","21,389","20,873",,,5,EMAPA CAÑETE S.A.,"26,271","27,307","28,277","29,080"
4,"4,001",IQUITOS,"54,892","56,530","58,187","57,688",,,6,EMSA PUNO S.A.,"33,860","29,951","30,939","31,362"
4,"4,002",YURIMAGUAS,"11,473","12,514","12,919","13,089",,,7,EPSSMU S.R.L.,"5,583","6,484","6,750","6,936"
4,"4,003",REQUENA,968,975,"1,027",976,,,8,ATUSA,"35,769","37,708","39,647","40,242"
5,,NINGUNO,,,,,,,9,EMAPA PASCO S.A.,"9,632","9,732","10,001",0
5,"5,001",SAN VICENTE,"6,200","6,418","6,704","6,926",,,10,EMAPISCO S.A.,"18,436","19,144","19,435","19,517"
5,"5,002",LUNAHUANA,379,393,434,437,,,11,SEDACAJ S.A.,"34,859","36,376","37,279","37,383"
5,"5,003",IMPERIAL,"6,539","6,749","6,907","6,984",,,12,EPS TACNA S.A.,"74,447","75,927","77,371","78,478"
5,"5,004",SAN LUIS,"1,637","1,838","1,869","1,895",,,13,EMAPAVIGS S.A.C.,"7,158","7,207","7,312","7,322"
5,"5,005",CERRO AZUL,"1,585","1,688","1,768","1,813",,,14,SEDACHIMBOTE S.A.,"79,087","81,693","83,227","83,719"
