,,,Conexiones con medidor leído (Conex) - 2160,,,,,,,,,,,
,Cod. Loc.,Nombre Localidad,"2,013","2,014","2,015",2T 2016,,,Cod EPS,Siglas EPS,"2,013","2,014","2,015",2T 2016
1,"1,001",CHACHAPOYAS,"6,310","6,653","6,824","6,983",,,1,EMUSAP S.R.L.,"6,310","6,653","6,824","6,983"
2,"2,001",HUANUCO,"25,688","26,044","25,268","25,206",,,2,SEDA HUÁNUCO S.A.,"35,555","35,032","35,546","35,581"
2,"2,002",TINGO MARIA,"7,154","6,616","7,255","7,354",,,3,EMAPACOP S.A.,1,49,828,"2,776"
2,"2,003",AUCAYACU,"2,713","2,372","3,023","3,021",,,4,SEDALORETO S.A.,"34,584","34,608","35,659","33,971"
3,"3,001",PUCALLPA,1,49,828,"2,776",,,5,EMAPA CAÑETE S.A.,"4,436","4,585","7,391","8,006"
4,"4,001",IQUITOS,"23,923","22,552","23,434","22,112",,,6,EMSA PUNO S.A.,"16,880","18,418","20,694","21,841"
4,"4,002",YURIMAGUAS,"10,502","11,883","12,050","11,688",,,7,EPSSMU S.R.L.,0,0,0,0
4,"4,003",REQUENA,159,173,175,171,,,8,ATUSA,"20,142","21,007","19,949","20,283"
5,,NINGUNO,,,,,,,9,EMAPA PASCO S.A.,0,0,0,0
5,"5,001",SAN VICENTE,884,972,"2,774","2,940",,,10,EMAPISCO S.A.,"1,134","1,779","3,275","5,469"
5,"5,002",LUNAHUANA,5,4,5,11,,,11,SEDACAJ S.A.,"31,688","34,569","35,367","36,253"
5,"5,003",IMPERIAL,540,693,789,852,,,12,EPS TACNA S.A.,"47,666","50,830","45,655","44,991"
5,"5,004",SAN LUIS,239,381,398,396,,,13,EMAPAVIGS S.A.C.,62,15,86,89
5,"5,005",CERRO AZUL,429,398,412,460,,,14,SEDACHIMBOTE S.A.,"49,648","54,006","55,510","55,537"
5,"5,006",MALA,"1,135","1,053","2,024","2,059",,,15,SEDA AYACUCHO S.A.,"35,554","36,540","38,695","36,821"
