,,,Conexiones Totales de Agua Potable (Conex) - 2110- Excepto SEDAPAL (2090),,,,,,,,Conexiones Totales de Agua Potable (Conex) - 2110- Excepto SEDAPAL (2090),,,
Cod EPS,Cod Loc. 2,Nombre Localidad,"2,013","2,014","2,015",2T 2016,,,Cod EPS,Siglas EPS,"2,013","2,014","2,015",2T 2016
1,"1,001",CHACHAPOYAS,"6,733","7,109","7,300","7,436",,,1,EMUSAP S.R.L.,"6,733","7,109","7,300","7,436"
2,"2,001",HUANUCO,"30,536","30,994","31,315","31,440",,,2,SEDA HUÁNUCO S.A.,"41,353","42,056","42,746","42,964"
2,"2,002",TINGO MARIA,"7,732","7,893","8,202","8,275",,,3,EMAPACOP S.A.,"24,515","25,200","29,221","30,065"
2,"2,003",AUCAYACU,"3,085","3,169","3,229","3,249",,,4,SEDALORETO S.A.,"88,418","89,430","89,363","90,457"
3,"3,001",PUCALLPA,"24,515","25,200","29,221","30,065",,,5,EMAPA CAÑETE S.A.,"31,884","33,082","34,150","34,936"
4,"4,001",IQUITOS,"70,364","71,329","73,225","73,979",,,6,EMSA PUNO S.A.,"42,371","36,553","38,311","39,474"
4,"4,002",YURIMAGUAS,"13,583","13,628","14,049","14,363",,,7,EPSSMU S.R.L.,"7,578","8,271","8,610","8,727"
4,"4,003",REQUENA,"4,471","4,473","2,089","2,115",,,8,ATUSA,"41,392","42,547","44,262","44,890"
5,,NINGUNO,,,,,,,9,EMAPA PASCO S.A.,"11,343","11,422","11,597","11,575"
5,"5,001",SAN VICENTE,"7,347","7,608","7,958","8,157",,,10,EMAPISCO S.A.,"24,898","24,315","24,398","23,146"
5,"5,002",LUNAHUANA,498,514,553,560,,,11,SEDACAJ S.A.,"38,854","40,470","41,472","41,795"
5,"5,003",IMPERIAL,"7,506","7,708","7,856","7,945",,,12,EPS TACNA S.A.,"88,836","90,002","91,677","92,348"
5,"5,004",SAN LUIS,"1,977","2,231","2,260","2,285",,,13,EMAPAVIGS S.A.C.,"8,504","8,929","8,955","9,145"
5,"5,005",CERRO AZUL,"1,956","2,042","2,119","2,148",,,14,SEDACHIMBOTE S.A.,"84,995","87,756","89,157","89,366"
5,"5,006",MALA,"6,345","6,569","6,745","6,806",,,15,SEDA AYACUCHO S.A.,"52,066","53,945","55,744","56,660"
5,"5,007",SAN ANTONIO,"1,061","1,079","1,099","1,108",,,16,EMAPA SAN MARTIN S.A.,"39,974","41,362","42,654","44,263"
5,"5,008",SANTA CRUZ DE FLORES,684,694,714,721,,,17,EMAPAT S.R.L.,"15,046","16,044","16,935","17,376"
