,,,Conexiones Totales de Alcantarillado (Conex) - 2130,,,,,,,,,,,
,Cod. Loc.,Nombre Localidad,"2,013","2,014","2,015",2T 2016,,,Cod EPS,Siglas EPS,"2,013","2,014","2,015",2T 2016
1,"1,001",CHACHAPOYAS,"5,533","5,948","6,362","6,476",,,1,EMUSAP S.R.L.,"5,533","5,948","6,362","6,476"
2,"2,001",HUANUCO,"30,534","31,027","31,318","31,422",,,2,SEDA HUÁNUCO S.A.,"38,783","39,475","40,053","40,212"
2,"2,002",TINGO MARIA,"5,574","5,700","5,934","5,969",,,3,EMAPACOP S.A.,"25,384","26,508","29,209","29,924"
2,"2,003",AUCAYACU,"2,675","2,748","2,801","2,821",,,4,SEDALORETO S.A.,"43,656","45,345","45,785","46,222"
3,"3,001",PUCALLPA,"25,384","26,508","29,209","29,924",,,5,EMAPA CAÑETE S.A.,"25,186","26,605","27,720","28,970"
4,"4,001",IQUITOS,"38,931","40,575","41,000","41,418",,,6,EMSA PUNO S.A.,"39,307","33,841","35,585","36,793"
4,"4,002",YURIMAGUAS,"4,276","4,321","4,337","4,358",,,7,EPSSMU S.R.L.,"5,920","6,694","6,964","7,087"
4,"4,003",REQUENA,449,449,448,446,,,8,ATUSA,"26,262","26,755","27,411","27,203"
5,,NINGUNO,,,,,,,9,EMAPA PASCO S.A.,"11,329","11,422","11,597","11,558"
5,"5,001",SAN VICENTE,"6,170","6,467","6,576","7,157",,,10,EMAPISCO S.A.,"22,801","22,386","22,819","21,777"
5,"5,002",LUNAHUANA,347,372,401,407,,,11,SEDACAJ S.A.,"38,660","40,214","41,225","41,514"
5,"5,003",IMPERIAL,"7,074","7,317","7,568","7,660",,,12,EPS TACNA S.A.,"87,167","88,490","90,338","91,001"
5,"5,004",SAN LUIS,"1,303","1,547","1,565","1,601",,,13,EMAPAVIGS S.A.C.,"9,533","10,089","10,690","10,521"
5,"5,005",CERRO AZUL,"1,344","1,368","1,392","1,406",,,14,SEDACHIMBOTE S.A.,"82,043","85,439","86,832","87,111"
5,"5,006",MALA,"4,914","5,267","5,488","5,556",,,15,SEDA AYACUCHO S.A.,"46,423","49,410","50,603","51,304"
5,"5,007",SAN ANTONIO,917,936,952,959,,,16,EMAPA SAN MARTIN S.A.,"32,608","33,604","35,511","35,897"
5,"5,008",SANTA CRUZ DE FLORES,612,616,622,626,,,17,EMAPAT S.R.L.,"7,634","8,290","8,659","9,288"
5,"5,009",QUILMANA,"2,114","2,286","2,485","2,914",,,18,SEMAPACH S.A.,"37,015","37,513","38,997","39,575"
5,,SAN MARCOS DE LA AGUADA,,,,,,,19,EPS SELVA CENTRAL S.A.,"17,716","18,521","19,410","19,666"
5,"5,010",ASIA,391,429,670,684,,,20,EPS MOYOBAMBA S.R.L.,"9,010","9,278","9,572","9,724"
5,,CHILCA,,,,,,,21,EMAPA HUANCAVELICA S.A.,"7,569","7,827","8,548","8,804"
5,,CALANGO,,,,,,,22,EPS MOQUEGUA S.A.,"18,771","19,254","20,463","20,656"
6,"6,001",PUNO,"31,173","32,272","33,882","34,968",,,23,EMAPA Y S.R.L.,"3,928","4,096","4,273","4,339"
6,,JULI,,,,,,,24,EMAPA HUARAL S.A.,"14,505","12,424","14,943","15,568"
6,"6,002",ILAVE,"6,637",,,,,,25,EMAPA HUACHO S.A.,"24,532","24,616","26,675","27,057"
6,"6,003",DESAGUADERO,"1,497","1,569","1,703","1,825",,,26,SEDAPAL ,"1,341,690","1,366,125","1,381,685","1,388,178"
7,"7,001",BAGUA GRANDE,"5,920","6,694","6,964","7,087",,,27,EPS ILO S.A.,"22,949","23,551","24,443","24,641"
8,"8,001",TUMBES,"11,689","11,769","11,889","11,767",,,28,SEDALIB S.A.,"155,623","159,605","163,915","164,705"
8,"8,002",SAN JUAN DE LA VIRGEN,198,203,215,216,,,29,EPSEL S.A.,"139,289","145,642","150,696","150,696"
8,"8,003",PAMPAS  DE HOSPITAL,346,348,364,366,,,30,SEDAPAR S.A.,"228,678","242,902","256,894","260,680"
