,,,Volumen Facturado (m3) - 2210 - Acumulado,,,,,,,,,,,,,,,,,
,Cod. Loc.,Nombre Localidad,"2,013","2,014","2,015",2T 2016,,,Cod EPS,Siglas EPS,"2,013","2,014","2,015",2T 2016,,,,,,
1,"1,001",CHACHAPOYAS,"1,242.82","1,306.08","1,402.10",734.44,,,1,EMUSAP S.R.L.,"1,243","1,306","1,402",734,,,1.242818,1.306075,1.402099,0.734438
2,"2,001",HUANUCO,"7,720.27","7,953.01","7,701.76","3,968.59",,,2,SEDA HUÁNUCO S.A.,"10,273","10,606","10,344","5,343",,,7.720271,7.953006,7.701762,3.968591407
2,"2,002",TINGO MARIA,"2,016.61","2,096.58","2,024.78","1,042.31",,,3,EMAPACOP S.A.,"7,260","8,577","12,294","4,451",,,2.016605,2.096584,2.024776,1.042311
2,"2,003",AUCAYACU,535.63,556.46,617.4,332.43,,,4,SEDALORETO S.A.,"13,797","14,944","15,364","7,799",,,0.535627,0.556464,0.617403,0.332433
3,"3,001",PUCALLPA,"7,260.35","8,576.82","12,293.68","4,451.23",,,5,EMAPA CAÑETE S.A.,"6,038","6,451","6,680","3,570",,,7.26035,8.576816,12.29368,4.451226
4,"4,001",IQUITOS,"11,727.85","12,726.49","13,001.16","6,529.90",,,6,EMSA PUNO S.A.,"6,316","4,823","5,008","2,491",,,11.72785,12.726494,13.001163,6.529904
4,"4,002",YURIMAGUAS,"1,832.71","1,982.61","2,123.21","1,152.88",,,7,EPSSMU S.R.L.,"1,309","1,422","1,499",773,,,1.832708,1.982605,2.123208,1.152879
4,"4,003",REQUENA,236.12,235.24,239.67,116.37,,,8,ATUSA,"6,299","6,290","6,158","3,067",,,0.236119,0.23524263,0.23967,0.116373
5,,NINGUNO,0,0,0,0,,,9,EMAPA PASCO S.A.,"4,173","1,673","1,241",606,,,0,0,0,0
5,"5,001",SAN VICENTE,"1,782.17","1,905.27","2,035.36","1,073.95",,,10,EMAPISCO S.A.,"4,419","4,799","4,914","2,482",,,1.782173,1.905271444,2.035358182,1.0739532
5,"5,002",LUNAHUANA,133.64,132.7,144.06,76.52,,,11,SEDACAJ S.A.,"6,756","6,988","7,056","3,564",,,0.133636,0.132697222,0.144063063,0.0765168
5,"5,003",IMPERIAL,"1,392.24","1,458.04","1,473.60",751.02,,,12,EPS TACNA S.A.,"15,215","14,347","14,513","7,571",,,1.392236,1.458036222,1.473597594,0.75102
5,"5,004",SAN LUIS,377.45,412.78,425.4,224.29,,,13,EMAPAVIGS S.A.C.,"1,743","1,936","1,653",913,,,0.37745,0.41278,0.425396117,0.224292
5,"5,005",CERRO AZUL,342.15,375.58,386.17,218.22,,,14,SEDACHIMBOTE S.A.,"16,580","17,274","17,882","9,207",,,0.342153,0.375578333,0.386167047,0.2182188
5,"5,006",MALA,899.94,954.81,977.3,548.67,,,15,SEDA AYACUCHO S.A.,"9,953","10,594","11,184","5,712",,,0.899944,0.954813444,0.977296656,0.54867
5,"5,007",SAN ANTONIO,197.01,210.13,210.98,111.09,,,16,EMAPA SAN MARTIN S.A.,"8,554","8,871","8,856","4,632",,,0.197006,0.210127,0.210976,0.1110912
5,"5,008",SANTA CRUZ DE FLORES,85.95,93.25,99.28,54.48,,,17,EMAPAT S.R.L.,"2,995","3,003","3,167","1,650",,,0.085948,0.093250111,0.09928,0.05448
5,"5,009",QUILMANA,631.18,706.86,730.25,395.1,,,18,SEMAPACH S.A.,"7,570","7,515","7,759","3,204",,,0.631177,0.706855778,0.730245063,0.3950976
5,,SAN MARCOS DE LA AGUADA,0,0,0,0,,,19,EPS SELVA CENTRAL S.A.,"6,592","7,230","7,385","3,667",,,0,0,0,0
5,"5,010",ASIA,196.11,201.48,197.28,116.32,,,20,EPS MOYOBAMBA S.R.L.,"2,020","2,063","2,053","1,102",,,0.196114,0.201484444,0.197281906,0.116316
5,,CHILCA,0,0,0,0,,,21,EMAPA HUANCAVELICA S.A.,"1,947","1,745","2,021","1,020",,,0,0,0,0
5,,CALANGO,0,0,0,0,,,22,EPS MOQUEGUA S.A.,"3,967","4,051","4,125","2,137",,,0,0,0,0
6,"6,001",PUNO,"5,205.59","4,617.39","4,792.86","2,395.45",,,23,EMAPA Y S.R.L.,409,432,432,223,,,5.20559,4.617391667,4.792856,2.395454
6,,JULI,0,0,0,0,,,24,EMAPA HUARAL S.A.,"3,518","3,712","4,042","2,030",,,0,0,0,0
6,"6,002",ILAVE,865.69,0,0,0,,,25,EMAPA HUACHO S.A.,"5,040","5,417","4,917","2,570",,,0.86569,0,0,0
6,"6,003",DESAGUADERO,244.7,205.44,214.78,95.91,,,26,SEDAPAL ,"480,475","484,647","497,931","264,277",,,0.244703,0.205443778,0.214775,0.09591
7,"7,001",BAGUA GRANDE,"1,308.96","1,422.09","1,498.84",773.2,,,27,EPS ILO S.A.,"2,977","3,160","3,354","1,832",,,1.308961,1.422093,1.498841,0.773202
8,"8,001",TUMBES,"2,674.14","2,609.54","2,481.26","1,265.90",,,28,SEDALIB S.A.,"29,499","30,273","28,879","14,543",,,2.67414127,2.60954284,2.48125521,1.26589552
8,"8,002",SAN JUAN DE LA VIRGEN,124.66,126.26,117.99,60.75,,,29,EPSEL S.A.,"30,982","29,291","28,754","14,384",,,0.12466407,0.12626162,0.11798852,0.06074744
8,"8,003",PAMPAS  DE HOSPITAL,146.95,139.88,125.78,60.58,,,30,SEDAPAR S.A.,"44,532","46,953","48,695","24,435",,,0.14694664,0.13987785,0.12578322,0.060579
8,"8,004",PUERTO PIZARRO,176.23,188.26,179.93,94.03,,,31,SEDACUSCO S.A.,"13,050","13,213","13,322","6,336",,,0.17623124,0.18826418,0.17992973,0.09402949
8,"8,005",NUEVO TUMBES,903.92,915.14,894.02,465.91,,,32,EPS GRAU S.A.,"36,312","37,009","38,340","19,067",,,0.90392347,0.91513706,0.89402251,0.46590813
8,"8,006",CORRALES,503.62,473.76,461.72,224.27,,,33,EPS CHAVIN S.A.,"6,290","6,495","6,765","3,347",,,0.50361734,0.47376334,0.46172119,0.22427392
8,"8,007",SAN JACINTO,143.51,150.84,150.05,73.85,,,34,EMAQ S.R.L.,"2,529","11,755","3,200","1,624",,,0.14351374,0.1508445,0.15004851,0.0738506
