,,,Volumen Producido (m3) - 3130 - Acumulado,,,,,,,,,,,,,,,,,
,Cod. Loc.,Nombre Localidad,"2,013","2,014","2,015",2T 2016,,,Cod EPS,Siglas EPS,"2,013","2,014","2,015",2T 2016,,,,,,
1,"1,001",CHACHAPOYAS,"1,767","1,749","1,749",881,,,1,EMUSAP S.R.L.,"1,767","1,749","1,749",881,,,1.767374,1.749352,1.74898006,0.88053091
2,"2,001",HUANUCO,"12,073","12,124","11,996","6,020",,,2,SEDA HUÁNUCO S.A.,"16,765","16,813","16,369","8,195",,,12.0729164,12.12371933,11.9964502,6.020130392
2,"2,002",TINGO MARIA,"3,880","3,891","3,529","1,746",,,3,EMAPACOP S.A.,"14,198","15,876","12,735","6,127",,,3.87996042,3.89099835,3.52936279,1.746104963
2,"2,003",AUCAYACU,813,798,843,429,,,4,SEDALORETO S.A.,"34,694","36,550","34,307","17,300",,,0.81256988,0.7978658,0.84317949,0.42914909
3,"3,001",PUCALLPA,"14,198","15,876","12,735","6,127",,,5,EMAPA CAÑETE S.A.,"13,057","12,240","12,085","6,088",,,14.198027,15.876134,12.73496,6.127212
4,"4,001",IQUITOS,"31,859","33,328","30,654","15,482",,,6,EMSA PUNO S.A.,"9,258","7,969","8,143","4,168",,,31.859337,33.328157,30.653839,15.481879
4,"4,002",YURIMAGUAS,"2,377","2,660","3,037","1,600",,,7,EPSSMU S.R.L.,"2,501","2,459","1,920","1,143",,,2.376862,2.66011,3.037041,1.600114
4,"4,003",REQUENA,458,562,616,218,,,8,ATUSA,"20,576","19,229","19,354","9,569",,,0.458063,0.562103051,0.615977,0.217841
5,,NINGUNO,0,0,0,0,,,9,EMAPA PASCO S.A.,"2,028","1,929","1,973",972,,,0,0,0,0
5,"5,001",SAN VICENTE,"2,712","2,653","2,338","1,313",,,10,EMAPISCO S.A.,"12,499","8,764","6,181","3,043",,,2.71160434,2.65305809,2.33836609,1.313254853
5,"5,002",LUNAHUANA,312,311,312,153,,,11,SEDACAJ S.A.,"9,185","8,936","9,273","4,875",,,0.31220585,0.3112064,0.3122064,0.15300252
5,"5,003",IMPERIAL,"4,089","4,239","4,170","2,004",,,12,EPS TACNA S.A.,"20,518","20,223","20,541","10,560",,,4.0886424,4.23855072,4.1702436,2.00371482
5,"5,004",SAN LUIS,"2,078","1,325","1,252",614,,,13,EMAPAVIGS S.A.C.,"2,400","2,694","2,401","1,225",,,2.0780928,1.32509944,1.2519792,0.61355556
5,"5,005",CERRO AZUL,846,861,861,422,,,14,SEDACHIMBOTE S.A.,"26,822","29,898","32,251","15,598",,,0.84593376,0.8609328,0.8609328,0.42191604
5,"5,006",MALA,"1,613","1,454","1,704",862,,,15,SEDA AYACUCHO S.A.,"14,566","16,636","17,664","8,954",,,1.61341468,1.45361426,1.70391003,0.861954264
5,"5,007",SAN ANTONIO,294,300,315,160,,,16,EMAPA SAN MARTIN S.A.,"12,988","12,748","12,792","6,788",,,0.2941866,0.2995389,0.3148668,0.15963075
5,"5,008",SANTA CRUZ DE FLORES,197,212,219,106,,,17,EMAPAT S.R.L.,"4,918","4,631","4,972","2,641",,,0.19693122,0.21239322,0.21943773,0.1059913
5,"5,009",QUILMANA,705,697,779,385,,,18,SEMAPACH S.A.,"18,202","17,090","13,651","5,280",,,0.70548941,0.69666506,0.77900619,0.385042875
5,,SAN MARCOS DE LA AGUADA,0,0,0,0,,,19,EPS SELVA CENTRAL S.A.,"13,915","14,724","16,736","7,837",,,0,0,0,0
5,"5,010",ASIA,210,189,134,70,,,20,EPS MOYOBAMBA S.R.L.,"3,438","3,553","3,609","1,763",,,0.21025123,0.18928424,0.13385646,0.07034523
5,,CHILCA,0,0,0,0,,,21,EMAPA HUANCAVELICA S.A.,"3,637","3,640","3,680","1,731",,,0,0,0,0
5,,CALANGO,0,0,0,0,,,22,EPS MOQUEGUA S.A.,"7,159","7,304","7,605","3,817",,,0,0,0,0
6,"6,001",PUNO,"7,572","7,764","7,937","4,066",,,23,EMAPA Y S.R.L.,"1,076","1,040","1,086",520,,,7.57175363,7.76351761,7.937108085,4.06575951
6,,JULI,0,0,0,0,,,24,EMAPA HUARAL S.A.,"6,685","6,883","6,888","3,522",,,0,0,0,0
6,"6,002",ILAVE,"1,480",0,0,0,,,25,EMAPA HUACHO S.A.,"7,473","7,725","7,358","3,925",,,1.479846,0,0,0
6,"6,003",DESAGUADERO,206,206,206,102,,,26,SEDAPAL ,"590,621","687,477","713,459","370,723",,,0.206063,0.2057905,0.2063031,0.101969
7,"7,001",BAGUA GRANDE,"2,501","2,459","1,920","1,143",,,27,EPS ILO S.A.,"6,519","6,846","6,617","3,694",,,2.501392,2.45872,1.920059,1.143314063
8,"8,001",TUMBES,"9,096","7,079","7,200","3,589",,,28,SEDALIB S.A.,"50,452","53,370","56,014","30,439",,,9.09554602,7.07901052,7.2002471,3.58864954
8,"8,002",SAN JUAN DE LA VIRGEN,584,658,597,235,,,29,EPSEL S.A.,"51,482","51,592","51,639","25,942",,,0.584207,0.657928,0.597489,0.23542618
8,"8,003",PAMPAS  DE HOSPITAL,497,447,461,219,,,30,SEDAPAR S.A.,"66,886","66,005","73,757","39,311",,,0.49662404,0.4471052,0.46084036,0.21896924
8,"8,004",PUERTO PIZARRO,676,647,604,321,,,31,SEDACUSCO S.A.,"20,452","21,217","20,650","10,693",,,0.676216,0.64736639,0.60421408,0.32074656
8,"8,005",NUEVO TUMBES,"1,754","1,958","1,720",873,,,32,EPS GRAU S.A.,"79,249","79,913","80,733","39,548",,,1.754326,1.958176,1.71994314,0.87256482
8,"8,006",CORRALES,"1,496","2,192","2,100","1,077",,,33,EPS CHAVIN S.A.,"11,172","11,950","11,451","6,133",,,1.495864,2.19195306,2.1001676,1.07659548
8,"8,007",SAN JACINTO,447,326,299,153,,,34,EMAQ S.R.L.,"7,355","7,351","8,063","3,875",,,0.447427,0.3261165,0.2986348,0.1525506
8,"8,008",LA CRUZ,710,706,682,332,,,35,EMAPAB S.R.L.,"2,997","2,593","2,226","1,038",,,0.71045478,0.70638008,0.682373,0.33181028
