Ubigeo;Fecha-Actualizacion;Departamento;Provincia;Distrito;Ruc;Proveedor;Modalidad;DomicilioLegal;CorreoElectronico;Telefono
10201;2021-03-12;AMAZONAS;BAGUA;BAGUA;10167637316;CONSORCIO ALIMENTOS BAGUA;PRODUCTOS;JR. 28 DE JULIO S/N C-02 SECTOR EL TOMAQUE.;consorcioalimentosbagua@gmail.com;
10201;2021-03-12;AMAZONAS;BAGUA;BAGUA;10412710156;DELGADO OLANO MARIBEL ROXANA;PRODUCTOS;Jirón La Libertad N° 217;roxana.del@hotmail.com;
10201;2021-03-12;AMAZONAS;BAGUA;BAGUA;10427262923;CONSORCIO AMAZONAS;PRODUCTOS;JR. TUMBES N° 288;emontezafarro@gmail.com;
10701;2021-03-12;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;20493681274;INDUSTRIAS ALIMENTARIAS SAN JUAN S.A.C.;PRODUCTOS;JR LIMA N°440 MZ E-2 LT3-SEC. LA ESPERANZA;corporativo@indusanperu.com;14609146
10702;2021-03-12;AMAZONAS;UTCUBAMBA;CAJARURO;20561337633;JOSFRANC SOCIEDAD ANONIMA CERRADA;PRODUCTOS;JR. COMERCIO 318;JOSFRANCSAC@HOTMAIL.COM;41263102
20101;2021-03-12;ANCASH;HUARAZ;HUARAZ;20601727812;ALIMENTOS ANDINOS DERIVADOS S.R.L.;PRODUCTOS;BAR. PEDREGAL ALTO MZA. 204 LOTE. 10 A A ESPALDAS DE LA PISCINA TEMPERADA;andinosyderivados@hotmail.com;
20101;2021-03-12;ANCASH;HUARAZ;HUARAZ;20602437184;CONSORCIO SALINAS;PRODUCTOS;PROLONGACIÓN  SIMON BOLIVAR N° 241-VILLON ALTO;grupoindustrialsalinas@gmail.com;43221948
20105;2021-03-12;ANCASH;HUARAZ;INDEPENDENCIA;20488316649;EL CONDOR HUARAZ S.R.L.;PRODUCTOS;AV. CONFRATERNIDAD INTERNACIONAL ESTE MZA. 52 LOTE. 11 (PASAJE LAS CAMPANILLAS) ;elcondorhuarazsrl@hotmail.com;
21701;2021-03-12;ANCASH;RECUAY;RECUAY;20602570976;MACLO INVESTMENT S.R.L.;PRODUCTOS;Via Pativilca Huaraz Km 551 ;consorciomaclo@hotmail.com;954628382
21801;2021-03-12;ANCASH;SANTA;CHIMBOTE;20531743700;CONSORCIO MOVA;PRODUCTOS;Calle Ramón Castilla Mz “O” lote 10 –A.H. Esperanza Baja;tq21sac@gmail.com;-
21801;2021-03-12;ANCASH;SANTA;CHIMBOTE;20531929471;INVERSIONES Y SERVICIOS SANVEL S.A.C.;PRODUCTOS;PJE. Micaela Bastidas Mz. 10 Lt. 03 Urb. El Carmen;meco580901@gmail.com;
21809;2021-03-12;ANCASH;SANTA;NUEVO CHIMBOTE;10769076471;CONSORCIO SAN GABRIEL;PRODUCTOS;URB. NICOLAS GARATEA MZ.84 LT 47-48-49 II ETAPA;Ciencias.Jack@gmail.com;
22003;2021-03-12;ANCASH;YUNGAY;MANCOS;20600036379;CORPORACION OH!DELIS S.A.C.;PRODUCTOS;CAL. TISHTEC S/N CAS. TISHTEC;CORPORACION.OH.DELIS@GMAIL.COM;43221948
30101;2021-03-12;APURIMAC;ABANCAY;ABANCAY;20526937563;CONSORCIO RENACER;PRODUCTOS;JR LOS CLAVELES NRO. SN;industriarenacer@gmail.com;
30109;2021-03-12;APURIMAC;ABANCAY;TAMBURCO;20491001241;GRUPO COVA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - GRUPO COVA SRL.;PRODUCTOS;URB. JUAN PABLO II D 19;grupocova@gmail.com;
30109;2021-03-12;APURIMAC;ABANCAY;TAMBURCO;20527998302;CONSORCIO EL SALVADOR;PRODUCTOS;AV. MICAELA BASTIDAS N° 109;alpesa20@gmail.com;
30109;2021-03-12;APURIMAC;ABANCAY;TAMBURCO;20564519431;PROBISAP S.R.L.;PRODUCTOS;AV. MICAELA BASTIDAS S/N;probisap@gmail.com;983989888
30109;2021-03-12;APURIMAC;ABANCAY;TAMBURCO;20601093163;TAMBO GRANDE S.A.C;PRODUCTOS;Av. Nestor Peña N° 399;alan@tambogrande.pe;0
30201;2021-03-12;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;20365808016;CORPORACION DE PRODUCTOS ALIMENTICIOS ENRIQUECIDOS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA;PRODUCTOS;Av. Confraternidad 1203;rserna@corpalen.com;4800171
30201;2021-03-12;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;20490599496;CONSORCIO ROLIT;PRODUCTOS; JR. ALFONSO UGARTE N° 271;ciarolitsac@gmail.com;
30216;2021-03-12;APURIMAC;ANDAHUAYLAS;TALAVERA;10427558491;TORRES SILVA NILTON;PRODUCTOS;AV. 28 DE JULIO N° 613;inversionestorressac@gmail.com;
30216;2021-03-12;APURIMAC;ANDAHUAYLAS;TALAVERA;20563865998;CONSORCIO MILAN SAC;PRODUCTOS;Jr. Sucre N° 233;corporacionperuanasanmiguelsac@gmail.com;-
30216;2021-03-12;APURIMAC;ANDAHUAYLAS;TALAVERA;20602883117;CONSORCIO MAV;PRODUCTOS;JR. APURIMAC N° 460;consorciomav21@gmail.com;83424005
40102;2021-03-12;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;20456247815;ALIMENTOS NATURALES DEL SUR S.A.C.;PRODUCTOS;MZA. M LOTE. 12 COO. ANDRES AVELINO CACERES ;alinsur.sac@gmail.com;
40109;2021-03-12;AREQUIPA;AREQUIPA;MARIANO MELGAR;20454568207;ALIMENTO PROCESADO INSTANTANEO S.A.C.;PRODUCTOS;CALLE NICOLAS DE PIEROLA N° 832;logistica@alproin.com;54454163
40112;2021-03-12;AREQUIPA;AREQUIPA;PAUCARPATA;10308615044;VERA AMAO IVETTE KATHERINE;PRODUCTOS;AV. LIBERTAD 516 URB. JORGE CHAVEZ;ivetteveraa@hotmail.com;54463163
40117;2021-03-12;AREQUIPA;AREQUIPA;SACHACA;20100226902;ALIMENTOS PROCESADOS SA;PRODUCTOS;CAL. AGUSTO PEREZ ARANIBAR NRO. SN (KILOMETRO 1.5 VARIANTE DE UCHUMAYO;jlatorre@alprosa.pe;54602700
50101;2021-03-12;AYACUCHO;HUAMANGA;AYACUCHO;10702077023;CONSORCIO CHASKA;PRODUCTOS;ASOC. PRO VIVIENDA LAS DUNAS MZ “B” LOTE “10”;consorciochaska@gmail.com;
50101;2021-03-12;AYACUCHO;HUAMANGA;AYACUCHO;20534236710;CONSORCIO AYACUCHO PERU;PRODUCTOS;AA. HH COVADONGA MZ A2 LT 10;damianperezcueva4@gmail.com;66636606
50101;2021-03-12;AYACUCHO;HUAMANGA;AYACUCHO;20601723043;CONSORCIO SAN ANTONIO DE PADUA;PRODUCTOS;AV. 09 DE DICIEMBRE 244;corporacionsanantoniopadua@gmail.com;66304274
50105;2021-03-12;AYACUCHO;HUAMANGA;CHIARA;20602673775;GRANOS ALTOANDINOS H Y D S.A.C.;PRODUCTOS;C.P.SECCHAPAMPA S/N;tenoriocancharihector@gmail.com;993959760
50110;2021-03-12;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;20601710316;CONSORCIO DEL VALLE;PRODUCTOS;JR PROCERES Nº 240;creaalimentossac@hotmail.com;966975124
50115;2021-03-12;AYACUCHO;HUAMANGA;JESUS NAZARENO;10282982469;CONSORCIO S & R;PRODUCTOS;JR. GERVACIO ALVAREZ NRO. 282 URB. SANTA BERTHA;joelsuarezcuadros@hotmail.com;0
50115;2021-03-12;AYACUCHO;HUAMANGA;JESUS NAZARENO;20602541933;CONSORCIO AGROINDUSTRIALES DE AYACUCHO;PRODUCTOS;ASOC INTI RAYMI MZ K LOTE 01;corpomigue_01@hotmail.com;
50401;2021-03-12;AYACUCHO;HUANTA;HUANTA;10084684533;CONSORCIO ESMERALDA;PRODUCTOS;Jr, Salvador Cavero N° 465, distrito HUANTA, provincia HUANTA, departamento AYACUCHO;nvillantoy1@hotmail.com;999935083
50401;2021-03-12;AYACUCHO;HUANTA;HUANTA;10286029642;RUIZ CHAVEZ CAROLINA;PRODUCTOS;JR. 22 DE JUNIO N° 444, distrito HUANTA, provincia HUANTA, departamento AYACUCHO;carolinaruizchavez11@gmail.com;66282274
50401;2021-03-12;AYACUCHO;HUANTA;HUANTA;20494978653;CONSORCIO ALIMENTOS OROPESA;PRODUCTOS;JR. VICTOR FAJARDO N° 275;erivashuaman5@gmail.com;
60101;2021-03-12;CAJAMARCA;CAJAMARCA;CAJAMARCA;10426055983;CONSORCIO LA PACCHA;PRODUCTOS; PROLONGACION LA PAZ 409 SECTOR 23 PACCHA;piano2508@hotmail.com;
60101;2021-03-12;CAJAMARCA;CAJAMARCA;CAJAMARCA;20570539095;L & T SERVICIOS INTEGRALES S.A.C.;PRODUCTOS;JR. JUAN BEATO MASÍAS 1522;rodriguezpradocarlos@gmail.com;620733
60101;2021-03-12;CAJAMARCA;CAJAMARCA;CAJAMARCA;20601097029;CONSORCIO DIVINO MAESTRO;PRODUCTOS;Av. vía de Evitamiento Sur N° 513-B ;megariver29@gmail.com;76340311
60101;2021-03-12;CAJAMARCA;CAJAMARCA;CAJAMARCA;20601578655;PERUVIAN CORPORATION IZA & R S.A.C.;PRODUCTOS;AV. TUPAC AMARU NRO. 1661 BAR. MOLLEPAMPA ;izayanita2009@hotmail.com;976827676
60101;2021-03-12;CAJAMARCA;CAJAMARCA;CAJAMARCA;20601737362;CONSORCIO PADRE ETERNO;PRODUCTOS; JR. MARIANO MELGAR 419 BARRIO LA COLMENA;padre.eterno092@gmail.com;76604026
60101;2021-03-12;CAJAMARCA;CAJAMARCA;CAJAMARCA;20602567100;CONSORCIO D&M;PRODUCTOS;AV. 13 DE JULIO 777A BAR. CHONTAPACCHA;dym.inversioneseirl@gmail.com;76288466
